@relation 'hr_attrition_synthetic 1'

@attribute EmployeeID numeric
@attribute Age numeric
@attribute Gender {Female,Male}
@attribute Department {IT,Finance,Sales,R&D,HR}
@attribute JobRole {'QA Engineer','Financial Analyst','Software Engineer',Accountant,'Sales Manager','Lab Technician','HR Executive','Research Scientist',Recruiter,'Sales Executive','DevOps Engineer'}
@attribute MonthlyIncome numeric
@attribute YearsAtCompany numeric
@attribute YearsSinceLastPromotion numeric
@attribute JobSatisfaction numeric
@attribute WorkLifeBalance numeric
@attribute EducationLevel numeric
@attribute TrainingHoursLastYear numeric
@attribute OverTime {No,Yes}
@attribute PerformanceRating numeric
@attribute Attrition {No,Yes}

@data
1001,50,Female,IT,'QA Engineer',141503,4,3,4,4,2,63,No,3,No
1002,36,Male,Finance,'Financial Analyst',99878,14,8,3,3,3,37,No,5,No
1003,29,Male,IT,'Software Engineer',72056,7,2,1,4,4,21,Yes,4,No
1004,42,Female,Finance,Accountant,34975,9,3,4,3,3,1,No,1,No
1005,40,Female,IT,'Software Engineer',103397,15,6,3,2,5,30,No,4,No
1006,44,Male,Sales,'Sales Manager',48142,7,6,2,4,3,10,No,3,Yes
1007,32,Male,R&D,'Lab Technician',41916,0,3,3,2,2,45,Yes,3,No
1008,32,Male,HR,'HR Executive',79324,11,5,3,1,1,61,Yes,4,Yes
1009,45,Male,Finance,'Financial Analyst',140932,4,2,1,3,3,68,No,3,No
1010,57,Male,R&D,'Research Scientist',111059,2,5,1,4,3,63,Yes,2,Yes
1011,45,Female,HR,Recruiter,113317,0,1,3,2,2,9,Yes,2,Yes
1012,24,Female,HR,'HR Executive',50046,3,7,1,3,1,39,No,3,No
1013,43,Female,IT,'Software Engineer',116459,7,1,1,3,1,23,Yes,3,No
1014,23,Female,Sales,'Sales Manager',60893,2,10,1,1,5,43,Yes,2,Yes
1015,45,Male,Sales,'Sales Executive',116520,9,6,4,1,3,59,Yes,3,No
1016,51,Male,R&D,'Lab Technician',140818,1,8,4,3,1,61,No,3,Yes
1017,23,Male,Sales,'Sales Manager',76272,10,0,3,3,1,16,No,4,No
1018,42,Female,Finance,Accountant,82649,9,7,1,4,4,64,No,1,No
1019,54,Female,Sales,'Sales Executive',79674,20,6,4,3,4,56,Yes,2,No
1020,33,Male,R&D,'Lab Technician',101475,13,5,3,4,1,54,No,4,No
1021,43,Male,Sales,'Sales Executive',76367,6,5,1,3,5,52,Yes,1,No
1022,46,Female,Finance,Accountant,136750,1,5,2,1,1,55,Yes,3,No
1023,48,Female,IT,'Software Engineer',133154,8,8,1,4,2,8,Yes,3,Yes
1024,49,Male,R&D,'Research Scientist',59738,15,1,1,2,3,21,No,4,No
1025,37,Male,IT,'QA Engineer',48397,12,0,4,1,5,12,No,3,Yes
1026,36,Female,IT,'DevOps Engineer',97189,8,5,3,4,2,47,No,5,No
1027,24,Male,IT,'Software Engineer',91367,19,9,3,4,5,17,No,4,No
1028,58,Male,HR,'HR Executive',135585,3,10,4,2,2,75,Yes,1,Yes
1029,28,Male,HR,'HR Executive',91619,9,7,1,4,3,39,No,4,No
1030,42,Female,IT,'DevOps Engineer',126453,11,2,2,3,3,16,Yes,2,Yes
1031,30,Female,R&D,'Research Scientist',34816,16,9,1,2,4,14,No,4,Yes
1032,39,Female,Finance,'Financial Analyst',94530,13,0,1,1,2,14,No,3,Yes
1033,25,Female,Finance,'Financial Analyst',123856,13,8,2,1,4,78,No,3,Yes
1034,46,Female,Sales,'Sales Manager',86635,1,0,4,3,2,62,Yes,5,Yes
1035,35,Female,R&D,'Research Scientist',122803,20,2,3,1,4,38,Yes,5,Yes
1036,30,Female,HR,Recruiter,50946,19,7,4,4,3,12,Yes,5,No
1037,47,Male,IT,'QA Engineer',70204,10,2,4,4,5,80,Yes,1,Yes
1038,23,Male,Sales,'Sales Manager',30563,15,3,1,3,4,31,Yes,5,Yes
1039,41,Male,Finance,Accountant,107324,18,7,3,1,2,8,No,1,No
1040,49,Male,HR,Recruiter,24847,5,0,3,1,2,39,Yes,5,No
1041,28,Male,HR,'HR Executive',41155,18,5,4,3,3,19,Yes,1,No
1042,29,Male,IT,'Software Engineer',94671,4,0,2,2,2,76,Yes,4,Yes
1043,56,Male,Finance,Accountant,131891,3,0,4,1,1,79,Yes,4,No
1044,35,Female,R&D,'Research Scientist',98310,14,7,2,2,5,72,No,3,No
1045,38,Female,HR,'HR Executive',146691,3,10,3,1,4,62,Yes,1,No
1046,57,Male,IT,'DevOps Engineer',49707,19,3,4,1,5,75,No,2,No
1047,25,Male,R&D,'Research Scientist',96537,9,0,1,1,3,43,No,3,Yes
1048,23,Female,Finance,'Financial Analyst',106155,2,9,4,1,4,37,No,4,No
1049,27,Male,HR,'HR Executive',15281,4,6,3,4,4,59,Yes,1,No
1050,25,Male,R&D,'Research Scientist',147130,5,4,1,2,1,70,No,5,No
1051,50,Female,R&D,'Lab Technician',91260,20,4,1,2,3,47,Yes,2,Yes
1052,39,Male,R&D,'Research Scientist',79178,7,0,2,1,2,17,Yes,4,No
1053,47,Female,HR,'HR Executive',48997,6,9,1,1,1,15,Yes,3,No
1054,55,Male,HR,Recruiter,134273,20,10,1,2,1,54,Yes,1,Yes
1055,31,Female,Sales,'Sales Executive',147311,9,5,4,4,5,38,Yes,2,Yes
1056,57,Female,Finance,Accountant,141945,5,8,3,3,5,67,No,1,No
1057,35,Female,IT,'QA Engineer',60272,13,8,2,3,5,58,No,5,No
1058,52,Male,R&D,'Research Scientist',104393,3,7,4,2,1,61,Yes,3,No
1059,36,Female,Sales,'Sales Manager',76212,12,4,1,1,2,12,No,1,No
1060,29,Male,IT,'DevOps Engineer',135030,19,0,1,1,4,80,Yes,4,Yes
1061,35,Male,Sales,'Sales Executive',71503,16,8,2,4,5,5,No,3,No
1062,44,Male,HR,'HR Executive',21570,6,0,3,3,2,76,No,4,No
1063,42,Male,R&D,'Lab Technician',83785,3,7,2,4,3,59,No,1,No
1064,37,Female,IT,'Software Engineer',24110,13,4,4,3,5,13,No,3,No
1065,39,Female,IT,'Software Engineer',94141,2,2,2,2,4,53,No,4,No
1066,45,Male,IT,'QA Engineer',27115,4,10,1,3,3,3,Yes,5,No
1067,47,Male,IT,'QA Engineer',54062,15,6,4,4,3,38,Yes,5,No
1068,46,Female,IT,'DevOps Engineer',37911,19,6,1,4,4,71,No,1,No
1069,50,Male,Sales,'Sales Manager',119061,3,8,3,4,5,24,Yes,3,No
1070,36,Female,R&D,'Lab Technician',47556,1,6,1,2,1,76,No,2,No
1071,22,Male,HR,'HR Executive',143335,17,10,1,3,4,31,Yes,3,No
1072,46,Male,HR,Recruiter,16969,18,2,2,3,4,58,No,5,Yes
